,date,transactionId,sessionsToTransaction,daysToTransaction,transactions,transactionRevenue
15232,25-04-2017,1729512,1,0,1,1750
15233,25-04-2017,1729527,4,6,1,76500
15234,25-04-2017,1729532,28,24,1,21000
15235,25-04-2017,1729540,2,0,1,5000
15236,25-04-2017,1729551,4,6,1,17000
15237,25-04-2017,1729553,101,48,1,14275
15238,25-04-2017,1729557,29,24,1,8322
15239,25-04-2017,1729559,101,48,1,973
15240,25-04-2017,1729560,29,24,1,77777
15241,25-04-2017,1729565,1,0,1,2875
15242,25-04-2017,1729566,18,5,1,1018
15243,25-04-2017,1729572,3,0,1,6300
15819,26-04-2017,1729579,1,0,1,26045
15820,26-04-2017,1729584,34,25,1,9000
15821,26-04-2017,1729586,35,25,1,6335
15965,27-04-2017,1729595,5,1,1,192417
15966,27-04-2017,1729600,107,50,1,677
15967,27-04-2017,1729604,107,50,1,128
15968,27-04-2017,1729607,6,1,1,1299
15969,27-04-2017,1729611,157,133,1,1348
16115,28-04-2017,1729618,1,0,1,500
16116,28-04-2017,1729627,32,29,1,99
16117,28-04-2017,1729628,32,29,1,99
16118,28-04-2017,1729629,32,29,1,99
16119,28-04-2017,1729631,1,0,1,72000
16120,28-04-2017,1729634,32,29,1,99
16121,28-04-2017,1729636,2,0,1,1348
16122,28-04-2017,1729639,32,29,1,99
16123,28-04-2017,1729642,2,0,1,99
16124,28-04-2017,1729643,2,0,1,99
16125,28-04-2017,1729644,2,0,1,99
16126,28-04-2017,1729645,2,0,1,99
16127,28-04-2017,1729646,2,0,1,99
16241,29-04-2017,1729653,10,2,1,331200
16242,29-04-2017,1729660,8,0,1,31000
16243,29-04-2017,1729665,9,1,1,649
16244,29-04-2017,1729667,1,0,1,648
16245,29-04-2017,1729669,9,1,1,1000
16246,29-04-2017,1729671,1,0,1,999
16247,29-04-2017,1729674,36,30,1,10000
16248,29-04-2017,1729677,2,0,1,11363
16249,29-04-2017,1729680,36,30,1,6750
16250,29-04-2017,1729685,9,1,1,17650
16251,29-04-2017,1729688,36,30,1,29750
16252,29-04-2017,1729692,36,30,1,99
16253,29-04-2017,1729693,1,0,1,20025
16254,29-04-2017,1729694,1,0,1,513
16255,29-04-2017,1729696,9,1,1,22388
16256,29-04-2017,1729698,1,0,1,1000
16257,29-04-2017,1729699,1,0,1,400
16258,29-04-2017,1729700,1,0,1,99
16259,29-04-2017,1729701,1,0,1,4950
16260,29-04-2017,1729703,9,1,1,1000
16261,29-04-2017,1729705,1,0,1,0
16262,29-04-2017,1729709,9,1,1,1000
16263,29-04-2017,1729713,9,1,1,0
16264,29-04-2017,1729715,1,0,1,5625
16265,29-04-2017,1729716,5,0,1,6188
671,13-04-2017,1842921,4,27,1,9
555,11-04-2017,1854041,12,25,1,9
16266,29-04-2017,1857161,2,43,1,9
6,01-04-2017,1973401,7,21,1,7000
43,02-04-2017,1973401,8,23,1,7000
44,02-04-2017,1973401,9,23,1,7000
89,03-04-2017,1973401,10,24,1,7000
45,02-04-2017,1973701,2,1,1,2600
7,01-04-2017,1974411,23,56,1,7980
8,01-04-2017,1976491,5,0,1,13000
9,01-04-2017,1976491,6,1,1,13000
10,01-04-2017,1978801,53,85,1,9000
11,01-04-2017,1978831,7,0,1,4000
12,01-04-2017,1978841,2,0,1,1125
13,01-04-2017,1978841,3,0,1,1125
14,01-04-2017,1978881,18,115,1,550
15,01-04-2017,1978891,18,115,1,600
16,01-04-2017,1978901,18,115,1,1575
17,01-04-2017,1978911,18,115,1,1250
18,01-04-2017,1978961,1,0,1,725
19,01-04-2017,1978981,8,6,1,3900
20,01-04-2017,1979011,8,6,1,6600
21,01-04-2017,1979051,8,6,1,5700
22,01-04-2017,1979091,8,6,1,5200
23,01-04-2017,1979141,1,0,1,600
24,01-04-2017,1979191,203,50,1,675
25,01-04-2017,1979291,2,0,1,1200
26,01-04-2017,1979301,1,0,1,1125
27,01-04-2017,1979351,20,31,1,12000
28,01-04-2017,1979361,86,35,1,863
29,01-04-2017,1979381,86,35,1,738
30,01-04-2017,1979391,13,72,1,9900
31,01-04-2017,1979401,86,35,1,763
32,01-04-2017,1979411,1,0,1,900
33,01-04-2017,1979441,6,1,1,15500
34,01-04-2017,1979461,14,145,1,11300
35,01-04-2017,1979471,1,0,1,549
36,01-04-2017,1979511,3,0,1,1475
46,02-04-2017,1979511,4,1,1,1475
90,03-04-2017,1979511,5,1,1,1475
37,01-04-2017,1979631,108,26,1,950
38,01-04-2017,1979691,1,0,1,3875
39,01-04-2017,1979701,1,0,1,5000
40,01-04-2017,1979771,1,0,1,5000
41,01-04-2017,1979831,1,0,1,5000
42,01-04-2017,1979841,1,0,1,5000
47,02-04-2017,1979881,1,0,1,5000
