"","transactionId","city","users","sessions","pageviews"
"286","1979301","New Delhi",1,0,0
"287","1979351","Chandigarh",1,0,0
"288","1979361","Ahmedabad",1,0,0
"289","1979381","Ahmedabad",1,0,0
"290","1979391","Noida",1,0,0
"291","1979401","Ahmedabad",1,0,0
"292","1979411","Ahmedabad",1,0,0
"293","1979441","Mumbai",1,0,0
"294","1979461","New Delhi",1,0,0
"295","1979471","New Delhi",1,0,0
"296","1979511","Pune",1,1,0
"297","1979631","Ahmedabad",1,0,0
"298","1979691","Kolkata",1,0,0
"299","1979701","Kolkata",1,0,0
"300","1979771","Kolkata",1,0,0
"301","1979831","Howrah",1,0,0
"302","1979841","Kolkata",1,0,0
"303","1979881","Howrah",1,0,0
"304","1980011","Jaipur",1,0,0
"305","1980031","Jaipur",1,0,0
"306","1980041","Chandigarh",1,0,0
"307","1980071","Gurgaon",1,0,0
"308","1980131","Kolkata",1,0,0
"309","1980161","Kolkata",1,0,0
"310","1980181","Kolkata",1,0,0
"311","1980201","Pune",1,0,0
"312","1980211","Noida",1,0,0
"313","1980221","Kolkata",1,0,0
"314","1980231","Kolkata",1,0,0
"315","1980241","Kolkata",1,0,0
"316","1980251","(not set)",1,0,0
"317","1980271","Kolkata",1,0,0
"318","1980281","Kolkata",1,0,0
"319","1980291","New Delhi",1,0,0
"320","1980321","Kolkata",1,0,0
"321","1980401","New Delhi",1,0,0
"322","1980431","Gurgaon",1,0,0
"323","1980561","Kolkata",1,0,0
"324","1980591","New Delhi",1,0,0
"325","1980621","Ghaziabad",1,0,0
"326","1980631","Ghaziabad",1,0,0
"327","1980681","(not set)",1,0,0
"328","1980701","(not set)",1,0,0
"329","1980711","Bengaluru",1,0,0
"330","1980721","New Delhi",1,0,0
"331","1980731","Gurgaon",1,0,0
"332","1980751","New Delhi",1,0,0
"333","1980771","Jaipur",1,0,0
"334","1980831","Hyderabad",1,0,0
"335","1980931","Mumbai",1,0,0
"336","1980941","Navi Mumbai",1,0,0
"337","1980991","Mumbai",1,0,0
"338","1981121","Ahmedabad",1,0,0
"339","1981131","Ahmedabad",1,0,0
"340","1981141","Ahmedabad",1,0,0
"341","1981151","Gurgaon",1,0,0
"342","1981161","Ahmedabad",1,0,0
"343","1981171","Mumbai",1,0,0
"344","1981331","New Delhi",1,0,0
"345","1981401","(not set)",1,0,0
"346","1981421","(not set)",1,0,0
"347","1981521","(not set)",1,0,0
"348","1981591","Pune",1,0,0
"349","1981661","Pune",1,0,0
"350","1981711","Ahmedabad",1,0,0
"351","1981741","Pune",1,0,0
"352","1981821","Pune",1,0,0
"353","1981841","Pune",1,0,0
"354","1981851","Pune",1,0,0
"355","1981861","Pune",1,0,0
"356","1981891","Mumbai",1,0,0
"357","1982611","(not set)",1,0,0
"358","1982631","New Delhi",1,0,0
"359","1982781","New Delhi",1,0,0
"360","1982841","Mumbai",1,0,0
"361","1982861","New Delhi",1,0,0
"362","1982891","Bengaluru",1,0,0
"363","1982911","New Delhi",1,0,0
"364","1982921","New Delhi",1,0,0
"365","1982931","New Delhi",1,0,0
"366","1982941","New Delhi",1,0,0
"367","1982971","(not set)",1,0,0
"368","1983011","Pune",1,0,0
"369","1983021","New Delhi",1,0,0
"370","1986881","Gurgaon",1,0,0
"371","1986951","Ahmedabad",1,0,0
"372","1986961","Ahmedabad",1,0,0
"373","1986971","Ahmedabad",1,0,0
"374","1986981","Ahmedabad",1,0,0
"375","1987021","Pune",1,0,0
"376","1987141","Mumbai",1,0,0
"377","1987271","New Delhi",1,0,0
"378","1987321","Pune",1,0,0
"379","1987371","(not set)",1,0,0
"380","1987491","(not set)",1,0,0
"381","1987551","Jaipur",1,0,0
"382","1987571","Ahmedabad",1,0,0
"383","1987581","Pune",1,0,0
"384","1987611","Ahmedabad",1,0,0
"385","1987721","Ghaziabad",1,0,0
"386","1987921","New Delhi",1,0,0
"387","1987931","New Delhi",1,0,0
"388","1987961","New Delhi",1,0,0
"389","1987971","New Delhi",1,0,0
"390","1988021","New Delhi",1,0,0
"391","1988031","New Delhi",1,0,0
"392","1988061","New Delhi",1,0,0
"393","1988101","New Delhi",1,0,0
"394","1988111","New Delhi",1,0,0
"395","1988121","New Delhi",1,0,0
"396","1988151","Mumbai",1,0,0
"397","1988201","Mumbai",1,0,0
"398","1988231","Mumbai",1,0,0
"399","1988261","Mumbai",1,0,0
"400","1988301","Ahmedabad",1,0,0
"401","1988341","Ahmedabad",1,0,0
"402","1988371","Ahmedabad",1,0,0
"403","1988401","Ahmedabad",1,0,0
"404","1988431","Ahmedabad",1,0,0
"405","1988451","Ahmedabad",1,0,0
"406","1988481","Ahmedabad",1,0,0
