customer_id,gender,product_title,vehicle_type,make,model,trim,year,Price,city,login_count
20311581,unknown,"Honda Activa 110cc 2012",Scooter,honda,activa,110cc,2012,28000.00,delhi,0
20329621,unknown,"droom Pro Seller 3-month Subscription fee",,,,,,4600.00,Kolkata,0
20329621,unknown,"droom Pro Seller 3-month Subscription fee",,,,,,4600.00,Kolkata,0
20253471,unknown,"Bajaj  Pulsar 180cc 2012",Motorcycle/Bike,bajaj,pulsar,180cc,2012,42000.00,Pune,0
20254081,unknown,"Volkswagen Polo Comfortline 1.2L (P) 2011",Car,volkswagen,polo,"comfortline 1.2l (p)",2011,300000.00,jaipur,0
20329991,unknown,"Bajaj Pulsar 135cc 2011",Motorcycle/Bike,bajaj,pulsar,135cc,2016,24500.00,Pulwana,0
20266921,unknown,"Maruti Suzuki Swift DZire VDi 2012",Car,"maruti suzuki","swift dzire",vdi,2012,525000.00,alwar,0
20313831,unknown,"Maruti Suzuki Swift VDi 2013",Car,"maruti suzuki",swift,vdi,2013,410000.00,ludhiana,0
20302121,unknown,"Honda Activa 110cc 2012",Scooter,honda,activa,110cc,2012,24000.00,Delhi,0
20334311,unknown,"Honda CB Shine 125cc 2013",Motorcycle/Bike,honda,"cb shine",125cc,2013,40000.00,pune,0
20220221,unknown,"Suzuki  Access 125cc 2014",Scooter,suzuki,access,125cc,2014,26000.00,gandhinagar,0
20336051,unknown,"droom Pro Seller 1-month Subscription fee",,,,,,3450.00,Kolkata,0
20336051,unknown,"droom Pro Seller 12-month Subscription fee",,,,,,34500.00,Kolkata,0
20329071,unknown,"Bajaj Pulsar 135 LS 135cc 2010",Motorcycle/Bike,bajaj,pulsar,135cc,2010,23000.00,Pulwana,0
20302121,unknown,"Honda Activa 110cc 2012",Scooter,honda,activa,110cc,2012,24000.00,Delhi,0
20335721,unknown,"Yamaha Fascino 113 2016",Scooter,yamaha,fascino,113,2016,52000.00,Delhi,0
20310471,unknown,"Gift Certificate",,,,,0,5000.00,delhi,0
20305461,unknown,"Bajaj Discover 125cc 2013",Motorcycle/Bike,bajaj,discover,125cc,2013,33000.00,pune,0
20225871,unknown,"Maruti Suzuki WAGON R VXI 2006",Car,"maruti suzuki","wagon r",vxi,2006,100000.00,Dibrugarh,0
20310471,unknown,"Gift Certificate",,,,,0,5000.00,delhi,0
17141,unknown,"Hyundai Grand i10 Sportz 1.1 CRDi 2013",Car,hyundai,"grand i10","sportz 1.1 crdi",2013,358000.00,"gautam buddha nagar",308
20310471,unknown,"Gift Certificate",,,,,0,5000.00,delhi,0
20302121,unknown,"Honda Activa 110cc 2012",Scooter,honda,activa,110cc,2012,24000.00,Delhi,0
20338331,unknown,"TVS Jupiter  ZX 2016",Scooter,tvs,jupiter,zx,2016,52000.00,pune,0
17141,unknown,"Hyundai Grand i10 Sportz 1.1 CRDi 2013",Car,hyundai,"grand i10","sportz 1.1 crdi",2013,358000.00,"gautam buddha nagar",308
20310471,unknown,"Gift Certificate",,,,,0,5000.00,delhi,0
20310471,unknown,"Gift Certificate",,,,,0,5000.00,delhi,0
20310471,unknown,"Gift Certificate",,,,,0,10000.00,delhi,0
20334461,unknown,"Mahindra Scorpio VLX 2013",Car,mahindra,scorpio,vlx,2013,600000.00,baraut,0
20310471,unknown,"Gift Certificate",,,,,0,10000.00,delhi,0
