GA_REVENUE,daysSinceLastSession,browser,mobileDeviceBranding,newOrReturning,hour,dayOfWeekName,orderCouponCode,shoppingStage,transactions,checkoutOptions,buyToDetailRate,transactionsPerSession,transactionShipping,transactionTax,uniquePurchases,cartToDetailRate,quantityAddedToCart,quantityCheckedOut,quantityRemovedFromCart,sessions_to_transaction,days_to_transaction,type
900,0,Firefox,none,Returning Visitor,17,Friday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,138,51,0
10500,0,Chrome,none,Returning Visitor,18,Friday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,4,0,0
21800,0,Chrome,none,Returning Visitor,18,Friday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,4,0,0
563,1,Chrome,none,Returning Visitor,18,Friday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,98,48,0
27700,0,Chrome,none,Returning Visitor,18,Friday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,4,0,0
1300,0,Chrome,none,Returning Visitor,18,Friday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,9,5,0
613,1,Chrome,none,Returning Visitor,18,Friday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,98,48,0
638,1,Chrome,none,Returning Visitor,18,Friday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,98,48,0
713,1,Chrome,none,Returning Visitor,18,Friday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,98,48,0
663,1,Chrome,none,Returning Visitor,18,Friday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,98,48,0
46000,0,Chrome,none,Returning Visitor,19,Friday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,75,82,0
575,1,Chrome,none,Returning Visitor,19,Friday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,98,48,0
775,1,Chrome,none,Returning Visitor,19,Friday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,98,48,0
